state,action,q_value
[]_4_5_1,take_discard_0,0.0871384629260161
[]_4_5_1,take_discard_1,0.0
[]_4_5_1,take_discard_2,0.0
[]_4_5_1,take_discard_3,0.0
[]_4_5_1,draw_deck_0,0.0
[]_4_5_1,draw_deck_1,0.0
[]_4_5_1,draw_deck_2,0.010000000000000002
[]_4_5_1,draw_deck_3,0.010000000000000002
['5']_3_9_2,take_discard_1,0.010000000000000002
['5']_3_9_2,take_discard_2,0.0
['5']_3_9_2,take_discard_3,0.0
['5']_3_9_2,draw_deck_1,0.0
['5']_3_9_2,draw_deck_2,0.0
['5']_3_9_2,draw_deck_3,0.0
"['5', '9']_2_4_3",take_discard_2,0.010000000000000002
"['5', '9']_2_4_3",take_discard_3,0.0
"['5', '9']_2_4_3",draw_deck_2,0.0
"['5', '9']_2_4_3",draw_deck_3,0.0
"['4', '5', '9']_1_2_4",take_discard_3,1.01
"['4', '5', '9']_1_2_4",draw_deck_3,0.0
[]_4_9_1,take_discard_0,0.046855900000000006
[]_4_9_1,take_discard_1,0.0
[]_4_9_1,take_discard_2,0.0
[]_4_9_1,take_discard_3,0.0
[]_4_9_1,draw_deck_0,0.0
[]_4_9_1,draw_deck_1,0.0
[]_4_9_1,draw_deck_2,0.0
[]_4_9_1,draw_deck_3,0.010000000000000002
['9']_3_7_2,take_discard_1,0.010000000000000002
['9']_3_7_2,take_discard_2,0.0
['9']_3_7_2,take_discard_3,0.0
['9']_3_7_2,draw_deck_1,0.0
['9']_3_7_2,draw_deck_2,0.0
['9']_3_7_2,draw_deck_3,0.0
"['7', '9']_2_9_3",take_discard_2,0.010000000000000002
"['7', '9']_2_9_3",take_discard_3,0.0
"['7', '9']_2_9_3",draw_deck_2,0.0
"['7', '9']_2_9_3",draw_deck_3,0.0
"['7', '9', '9']_1_8_4",take_discard_3,1.01
"['7', '9', '9']_1_8_4",draw_deck_3,0.0
[]_4_2_1,take_discard_0,0.0746155363519
[]_4_2_1,take_discard_1,0.0199
[]_4_2_1,take_discard_2,0.0
[]_4_2_1,take_discard_3,0.010000000000000002
[]_4_2_1,draw_deck_0,0.0
[]_4_2_1,draw_deck_1,0.0199
[]_4_2_1,draw_deck_2,0.0
[]_4_2_1,draw_deck_3,0.0
"['2', '3']_2_7_3",take_discard_2,0.010000000000000002
"['2', '3']_2_7_3",take_discard_3,0.0
"['2', '3']_2_7_3",draw_deck_2,0.0
"['2', '3']_2_7_3",draw_deck_3,0.0
"['2', '3', '7']_1_2_4",take_discard_3,1.01
"['2', '3', '7']_1_2_4",draw_deck_3,0.0
['2']_3_3_2,take_discard_1,0.010000000000000002
['8']_3_7_2,take_discard_0,0.010000000000000002
['8']_3_7_2,take_discard_1,0.0
['8']_3_7_2,take_discard_2,0.0
['8']_3_7_2,draw_deck_0,0.0
['8']_3_7_2,draw_deck_1,0.0
['8']_3_7_2,draw_deck_2,0.0
"['7', '8']_2_6_3",draw_deck_2,0.010000000000000002
"['2', '7', '8']_1_10_4",draw_deck_1,-0.49000000000000005
['7']_3_5_2,take_discard_0,0.010000000000000002
['7']_3_5_2,take_discard_2,0.0
['7']_3_5_2,take_discard_3,0.0
['7']_3_5_2,draw_deck_0,0.0
['7']_3_5_2,draw_deck_2,0.0
['7']_3_5_2,draw_deck_3,0.0
['7']_3_5_2,take_discard_1,0.010000000000000002
['7']_3_5_2,draw_deck_1,0.0
"['5', '7']_2_2_3",take_discard_2,0.010000000000000002
"['5', '7']_2_2_3",take_discard_3,0.0
"['5', '7']_2_2_3",draw_deck_2,0.0
"['5', '7']_2_2_3",draw_deck_3,0.0
"['2', '5', '7']_1_10_4",take_discard_3,1.01
"['2', '5', '7']_1_10_4",draw_deck_3,0.0
[]_4_Q_1,draw_deck_1,0.07426407735190002
[]_4_Q_1,take_discard_0,0.0
[]_4_Q_1,take_discard_1,0.0
[]_4_Q_1,take_discard_2,0.0
[]_4_Q_1,take_discard_3,0.0
[]_4_Q_1,draw_deck_0,0.0
[]_4_Q_1,draw_deck_2,0.0
[]_4_Q_1,draw_deck_3,0.010000000000000002
[]_4_8_1,take_discard_0,0.08491970095012899
[]_4_8_1,take_discard_1,0.0
[]_4_8_1,take_discard_2,0.0
[]_4_8_1,take_discard_3,0.0
[]_4_8_1,draw_deck_0,0.0
[]_4_8_1,draw_deck_1,0.0
[]_4_8_1,draw_deck_2,0.0
[]_4_8_1,draw_deck_3,0.010000000000000002
['8']_3_A_2,take_discard_1,0.019000000000000003
['8']_3_A_2,take_discard_2,0.0
['8']_3_A_2,take_discard_3,0.0
['8']_3_A_2,draw_deck_1,0.0
['8']_3_A_2,draw_deck_2,0.0
['8']_3_A_2,draw_deck_3,0.0
['8']_3_A_2,take_discard_0,0.010000000000000002
['8']_3_A_2,draw_deck_0,0.0
"['8', 'A']_2_9_3",take_discard_2,0.010000000000000002
"['8', 'A']_2_9_3",take_discard_3,0.0
"['8', 'A']_2_9_3",draw_deck_2,0.0
"['8', 'A']_2_9_3",draw_deck_3,0.0
"['8', '9', 'A']_1_J_4",take_discard_3,1.01
"['8', '9', 'A']_1_J_4",draw_deck_3,0.0
['A']_3_5_2,take_discard_0,0.019000000000000003
['A']_3_5_2,take_discard_1,0.0
['A']_3_5_2,take_discard_3,0.0
['A']_3_5_2,draw_deck_0,0.0
['A']_3_5_2,draw_deck_1,0.0
['A']_3_5_2,draw_deck_3,0.0
"['5', 'A']_2_Q_3",take_discard_1,0.010000000000000002
"['5', 'A']_2_Q_3",take_discard_3,0.0
"['5', 'A']_2_Q_3",draw_deck_1,0.0
"['5', 'A']_2_Q_3",draw_deck_3,0.0
"['5', 'A', 'Q']_1_4_4",take_discard_3,-0.49000000000000005
"['5', 'A', 'Q']_1_4_4",draw_deck_3,0.0
[]_4_A_1,take_discard_2,0.08340108166072001
[]_4_A_1,take_discard_0,0.0
[]_4_A_1,take_discard_1,0.0
[]_4_A_1,take_discard_3,0.0
[]_4_A_1,draw_deck_0,0.0
[]_4_A_1,draw_deck_1,0.0
[]_4_A_1,draw_deck_2,0.0
[]_4_A_1,draw_deck_3,0.019000000000000003
[]_4_4_1,take_discard_0,0.07940921631571
[]_4_4_1,take_discard_1,0.0
[]_4_4_1,take_discard_2,0.010900000000000002
[]_4_4_1,take_discard_3,0.0
[]_4_4_1,draw_deck_0,0.0
[]_4_4_1,draw_deck_1,0.010000000000000002
